val_loss,epoch,step,train_acc,train_loss
0.6165991425514221,0,317,,
,0,317,0.6145526170730591,0.8029571771621704
0.5695404410362244,1,635,,
,1,635,0.635988175868988,0.6912763118743896
0.6054491400718689,2,953,,
,2,953,0.6484758853912354,0.6697452068328857
0.5363616347312927,3,1271,,
,3,1271,0.6503441333770752,0.6640323996543884
