train_loss_step,train_acc_step,epoch,step,val_acc_epoch,val_loss,val_f1_macro,train_loss_epoch,train_acc_epoch
1.1071255207061768,0.46875,0,49,,,,,
0.9295947551727295,0.625,0,99,,,,,
0.9195798635482788,0.5625,0,149,,,,,
0.62591552734375,0.78125,0,199,,,,,
0.5753921270370483,0.78125,0,249,,,,,
0.8654991388320923,0.8125,0,299,,,,,
,,0,317,0.5672566294670105,1.8843730688095093,0.4602545499801636,,
,,0,317,,,,0.9639685750007629,0.6344149708747864
0.8772584795951843,0.75,1,349,,,,,
0.9304457902908325,0.78125,1,399,,,,,
0.9247645139694214,0.78125,1,449,,,,,
0.5951474905014038,0.75,1,499,,,,,
0.6638855338096619,0.84375,1,549,,,,,
0.60080885887146,0.75,1,599,,,,,
,,1,635,0.47876104712486267,1.909417748451233,0.4454052448272705,,
,,1,635,,,,0.8075766563415527,0.7421829104423523
0.898713231086731,0.8125,2,649,,,,,
1.0048651695251465,0.71875,2,699,,,,,
0.7804797887802124,0.8125,2,749,,,,,
0.6777963638305664,0.6875,2,799,,,,,
0.692224383354187,0.59375,2,849,,,,,
0.5685101747512817,0.78125,2,899,,,,,
0.9135236144065857,0.75,2,949,,,,,
,,2,953,0.6141592860221863,1.8014580011367798,0.5097894668579102,,
,,2,953,,,,0.7619850039482117,0.7781710624694824
0.6741264462471008,0.8125,3,999,,,,,
0.6131845712661743,0.8125,3,1049,,,,,
0.7001864910125732,0.71875,3,1099,,,,,
0.9523009061813354,0.78125,3,1149,,,,,
0.6822532415390015,0.84375,3,1199,,,,,
0.5900058746337891,0.875,3,1249,,,,,
,,3,1271,0.6486725807189941,1.763340711593628,0.5251818895339966,,
,,3,1271,,,,0.7278125286102295,0.8002949953079224
0.838107705116272,0.71875,4,1299,,,,,
0.7641500234603882,0.75,4,1349,,,,,
0.6826460361480713,0.84375,4,1399,,,,,
0.7347046136856079,0.78125,4,1449,,,,,
0.5868875980377197,0.8125,4,1499,,,,,
0.6351680159568787,0.84375,4,1549,,,,,
,,4,1589,0.6601769924163818,1.7561947107315063,0.534339964389801,,
,,4,1589,,,,0.7243039011955261,0.8186823725700378
0.5745658874511719,0.875,5,1599,,,,,
0.665795087814331,0.8125,5,1649,,,,,
0.6468797922134399,0.75,5,1699,,,,,
0.614222526550293,0.84375,5,1749,,,,,
0.7062495946884155,0.75,5,1799,,,,,
0.6070891618728638,0.78125,5,1849,,,,,
0.5727425813674927,0.875,5,1899,,,,,
,,5,1907,0.6716814041137695,1.7273045778274536,0.5242595672607422,,
,,5,1907,,,,0.7023614048957825,0.823992133140564
1.0960912704467773,0.78125,6,1949,,,,,
0.980928897857666,0.8125,6,1999,,,,,
0.6579763889312744,0.8125,6,2049,,,,,
0.6630947589874268,0.84375,6,2099,,,,,
0.6045595407485962,0.9375,6,2149,,,,,
0.8485494256019592,0.84375,6,2199,,,,,
,,6,2225,0.6442477703094482,1.7454396486282349,0.5318211317062378,,
,,6,2225,,,,0.7006710171699524,0.8381514549255371
0.5159761905670166,0.90625,7,2249,,,,,
0.5306524634361267,0.84375,7,2299,,,,,
0.6368439793586731,0.90625,7,2349,,,,,
0.6737574338912964,0.84375,7,2399,,,,,
0.7663977742195129,0.8125,7,2449,,,,,
0.6809683442115784,0.875,7,2499,,,,,
,,7,2543,0.7106194496154785,1.6736106872558594,0.5605303645133972,,
,,7,2543,,,,0.6788970232009888,0.8466076850891113
0.6061490774154663,0.71875,8,2549,,,,,
0.6799209713935852,0.84375,8,2599,,,,,
0.7280430793762207,0.84375,8,2649,,,,,
0.6190957427024841,0.875,8,2699,,,,,
1.1031478643417358,0.78125,8,2749,,,,,
0.5055900812149048,0.8125,8,2799,,,,,
0.6674219965934753,0.9375,8,2849,,,,,
,,8,2861,0.6902654767036438,1.7187862396240234,0.5474772453308105,,
,,8,2861,,,,0.6830917596817017,0.8530973196029663
0.8687114715576172,0.8125,9,2899,,,,,
0.7588894963264465,0.90625,9,2949,,,,,
0.7355308532714844,0.8125,9,2999,,,,,
0.5578299760818481,0.78125,9,3049,,,,,
0.5695597529411316,0.8125,9,3099,,,,,
0.6563806533813477,0.90625,9,3149,,,,,
