d_loss_short,d_loss_long,g_loss,g_loss_mid,train_pi_loss,epoch,g_loss_long,d_r1_long,d_r1_mid,d_r1_short,g_loss_short,step,d_loss,train_variety_loss,d_loss_mid,val_minADE,val_minFDE
,,,,,8,,,,,,2978,,,,0.6134998798370361,1.0545592308044434
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,2999,nan,nan,nan,,
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,3049,nan,nan,nan,,
nan,nan,nan,nan,1.6899007558822632,9,nan,nan,nan,nan,nan,3099,nan,0.39569205045700073,nan,,
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,3149,nan,nan,nan,,
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,3199,nan,nan,nan,,
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,3249,nan,nan,nan,,
nan,nan,nan,nan,nan,9,nan,nan,nan,nan,nan,3299,nan,nan,nan,,
,,,,,9,,,,,,3309,,,,0.6134952306747437,1.054545521736145
nan,nan,nan,nan,1.701245665550232,10,nan,nan,nan,nan,nan,3349,nan,0.4758206307888031,nan,,
nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,3399,nan,nan,nan,,
nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,3449,nan,nan,nan,,
nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,3499,nan,nan,nan,,
nan,nan,nan,nan,1.7150208950042725,10,nan,nan,nan,nan,nan,3549,nan,0.4724090099334717,nan,,
nan,nan,nan,nan,nan,10,nan,nan,nan,nan,nan,3599,nan,nan,nan,,
,,,,,10,,,,,,3640,,,,0.6134982705116272,1.0545560121536255
nan,nan,nan,nan,1.7366303205490112,11,nan,nan,nan,nan,nan,3649,nan,0.517929196357727,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3699,nan,nan,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3749,nan,nan,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3799,nan,nan,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3849,nan,nan,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3899,nan,nan,nan,,
nan,nan,nan,nan,nan,11,nan,nan,nan,nan,nan,3949,nan,nan,nan,,
,,,,,11,,,,,,3971,,,,0.6134933829307556,1.0545475482940674
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,3999,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4049,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4099,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4149,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4199,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4249,nan,nan,nan,,
nan,nan,nan,nan,nan,12,nan,nan,nan,nan,nan,4299,nan,nan,nan,,
,,,,,12,,,,,,4302,,,,0.6134964227676392,1.054553508758545
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4349,nan,nan,nan,,
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4399,nan,nan,nan,,
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4449,nan,nan,nan,,
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4499,nan,nan,nan,,
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4549,nan,nan,nan,,
nan,nan,nan,nan,nan,13,nan,nan,nan,nan,nan,4599,nan,nan,nan,,
,,,,,13,,,,,,4633,,,,0.613494873046875,1.0545542240142822
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4649,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4699,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4749,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4799,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4849,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4899,nan,nan,nan,,
nan,nan,nan,nan,nan,14,nan,nan,nan,nan,nan,4949,nan,nan,nan,,
,,,,,14,,,,,,4964,,,,0.6134940385818481,1.0545425415039062
nan,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,4999,nan,nan,nan,,
nan,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,5049,nan,nan,nan,,
nan,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,5099,nan,nan,nan,,
nan,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,5149,nan,nan,nan,,
nan,nan,nan,nan,nan,15,nan,nan,nan,nan,nan,5199,nan,nan,nan,,
nan,nan,nan,nan,1.7324886322021484,15,nan,nan,nan,nan,nan,5249,nan,0.472085177898407,nan,,
,,,,,15,,,,,,5295,,,,0.6134968996047974,1.0545610189437866
nan,nan,nan,nan,nan,16,nan,nan,nan,nan,nan,5299,nan,nan,nan,,
nan,nan,nan,nan,1.7232340574264526,16,nan,nan,nan,nan,nan,5349,nan,0.46093228459358215,nan,,
nan,nan,nan,nan,1.7311766147613525,16,nan,nan,nan,nan,nan,5399,nan,0.5148631930351257,nan,,
nan,nan,nan,nan,nan,16,nan,nan,nan,nan,nan,5449,nan,nan,nan,,
nan,nan,nan,nan,nan,16,nan,nan,nan,nan,nan,5499,nan,nan,nan,,
nan,nan,nan,nan,nan,16,nan,nan,nan,nan,nan,5549,nan,nan,nan,,
nan,nan,nan,nan,nan,16,nan,nan,nan,nan,nan,5599,nan,nan,nan,,
,,,,,16,,,,,,5626,,,,0.6134961247444153,1.0545545816421509
nan,nan,nan,nan,nan,17,nan,nan,nan,nan,nan,5649,nan,nan,nan,,
nan,nan,nan,nan,nan,17,nan,nan,nan,nan,nan,5699,nan,nan,nan,,
nan,nan,nan,nan,1.7403091192245483,17,nan,nan,nan,nan,nan,5749,nan,0.5150802135467529,nan,,
nan,nan,nan,nan,nan,17,nan,nan,nan,nan,nan,5799,nan,nan,nan,,
nan,nan,nan,nan,nan,17,nan,nan,nan,nan,nan,5849,nan,nan,nan,,
nan,nan,nan,nan,nan,17,nan,nan,nan,nan,nan,5899,nan,nan,nan,,
nan,nan,nan,nan,1.7169326543807983,17,nan,nan,nan,nan,nan,5949,nan,0.47296828031539917,nan,,
,,,,,17,,,,,,5957,,,,0.6134933233261108,1.054558277130127
nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,5999,nan,nan,nan,,
nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,6049,nan,nan,nan,,
nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,6099,nan,nan,nan,,
nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,6149,nan,nan,nan,,
nan,nan,nan,nan,nan,18,nan,nan,nan,nan,nan,6199,nan,nan,nan,,
nan,nan,nan,nan,1.7602229118347168,18,nan,nan,nan,nan,nan,6249,nan,0.5128361582756042,nan,,
,,,,,18,,,,,,6288,,,,0.6134969592094421,1.0545543432235718
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6299,nan,nan,nan,,
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6349,nan,nan,nan,,
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6399,nan,nan,nan,,
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6449,nan,nan,nan,,
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6499,nan,nan,nan,,
nan,nan,nan,nan,nan,19,nan,nan,nan,nan,nan,6549,nan,nan,nan,,
nan,nan,nan,nan,1.7053412199020386,19,nan,nan,nan,nan,nan,6599,nan,0.4372977018356323,nan,,
,,,,,19,,,,,,6619,,,,0.6134961247444153,1.0545605421066284
nan,nan,nan,nan,nan,20,nan,nan,nan,nan,nan,6649,nan,nan,nan,,
nan,nan,nan,nan,1.6995084285736084,20,nan,nan,nan,nan,nan,6699,nan,0.44834017753601074,nan,,
nan,nan,nan,nan,1.6774120330810547,20,nan,nan,nan,nan,nan,6749,nan,0.4359239935874939,nan,,
nan,nan,nan,nan,nan,20,nan,nan,nan,nan,nan,6799,nan,nan,nan,,
nan,nan,nan,nan,nan,20,nan,nan,nan,nan,nan,6849,nan,nan,nan,,
