epoch,val_f1_Stationary,val_f1_Right Turn,val_f1_Straight,val_f1_LC Right,val_f1_LC Left,val_loss,val_f1_U-Turn,val_f1_Left Turn,step,train_loss,train_acc
0,0.8790560364723206,0.818791925907135,0.6005089282989502,0.16744185984134674,0.13513512909412384,0.6193584203720093,0.0,0.5548387169837952,317,,
0,,,,,,,,,317,0.802455484867096,0.6150442361831665
1,0.914826512336731,0.7777777910232544,0.7518796920776367,0.2616822421550751,0.17475728690624237,0.5625019073486328,0.1666666716337204,0.682539701461792,635,,
1,,,,,,,,,635,0.6894878149032593,0.6336283087730408
2,0.871345043182373,0.7471264600753784,0.7425968050956726,0.2857142984867096,0.16346153616905212,0.6138447523117065,0.0,0.5985401272773743,953,,
2,,,,,,,,,953,0.6690325736999512,0.6503441333770752
3,0.8909090757369995,0.8243243098258972,0.6369637250900269,0.1517857164144516,0.17777778208255768,0.5377702713012695,0.1538461595773697,0.7777777910232544,1271,,
3,,,,,,,,,1271,0.6630415916442871,0.6479842662811279
4,0.8854489326477051,0.7159090638160706,0.7754800319671631,0.27272728085517883,0.22972972691059113,0.5351017713546753,0.1666666716337204,0.6131386756896973,1589,,
4,,,,,,,,,1589,0.6265612840652466,0.6465093493461609
5,0.8804664611816406,0.818791925907135,0.7578475475311279,0.19512194395065308,0.19847328960895538,0.5176572799682617,0.0,0.625,1907,,
5,,,,,,,,,1907,0.6000056266784668,0.6439527869224548
6,0.8797653913497925,0.763005793094635,0.714062511920929,0.20382165908813477,0.22058823704719543,0.5222568511962891,0.0,0.5600000023841858,2225,,
6,,,,,,,,,2225,0.5799453258514404,0.6558505296707153
7,0.8942598104476929,0.7682926654815674,0.7435508370399475,0.24137930572032928,0.1734693944454193,0.523941159248352,0.1666666716337204,0.6666666865348816,2543,,
7,,,,,,,,,2543,0.5620118379592896,0.6419862508773804
8,0.8888888955116272,0.7692307829856873,0.7532075643539429,0.302325576543808,0.1818181872367859,0.5563715696334839,0.09090909361839294,0.6086956262588501,2861,,
8,,,,,,,,,2861,0.5699077844619751,0.650540828704834
9,0.9182389974594116,0.773809552192688,0.7537764310836792,0.20512820780277252,0.20645160973072052,0.4803854525089264,0.1538461595773697,0.6666666865348816,3179,,
9,,,,,,,,,3179,0.5377305150032043,0.6604719758033752
10,0.8653295040130615,0.7636363506317139,0.7763837575912476,0.24060150980949402,0.22727273404598236,0.5813352465629578,0.0,0.656000018119812,3497,,
10,,,,,,,,,3497,0.5392951965332031,0.6580137610435486
11,0.9102563858032227,0.7647058963775635,0.8002904653549194,0.2641509473323822,0.25999999046325684,0.5286033749580383,0.07407407462596893,0.511904776096344,3815,,
11,,,,,,,,,3815,0.5429001450538635,0.6634218096733093
12,0.8974359035491943,0.75,0.7793357968330383,0.27450981736183167,0.2151898741722107,0.49972161650657654,0.05000000074505806,0.656000018119812,4133,,
12,,,,,,,,,4133,0.5197058916091919,0.6761062145233154
13,0.9171974658966064,0.761904776096344,0.6820716857910156,0.17142857611179352,0.21705426275730133,0.5236225724220276,0.05263157933950424,0.6027397513389587,4451,,
13,,,,,,,,,4451,0.5307797789573669,0.6721730828285217
14,0.8797468543052673,0.7252747416496277,0.7297921180725098,0.24806201457977295,0.1931818127632141,0.4678216576576233,0.054054055362939835,0.71074378490448,4769,,
14,,,,,,,,,4769,0.5117488503456116,0.6687315702438354
15,0.8847352266311646,0.7558139562606812,0.6666666865348816,0.234375,0.1526104360818863,0.5338168740272522,0.05128205195069313,0.747826099395752,5087,,
15,,,,,,,,,5087,0.5079157948493958,0.6708948016166687
16,0.9038461446762085,0.8101266026496887,0.7894737124443054,0.29629629850387573,0.20134228467941284,0.5043948292732239,0.0625,0.6315789222717285,5405,,
16,,,,,,,,,5405,0.5090367794036865,0.676007866859436
17,0.9009584784507751,0.7096773982048035,0.7410781979560852,0.290909081697464,0.16853933036327362,0.5204834342002869,0.0,0.6043165326118469,5723,,
17,,,,,,,,,5723,0.49049142003059387,0.6685349345207214
18,0.8802395462989807,0.7558139562606812,0.7806309461593628,0.2772277295589447,0.18666666746139526,0.5534091591835022,0.0,0.641791045665741,6041,,
18,,,,,,,,,6041,0.4766625463962555,0.6776794791221619
19,0.9068322777748108,0.7784430980682373,0.7378048896789551,0.22058823704719543,0.17241379618644714,0.5393578410148621,0.0,0.6086956262588501,6359,,
19,,,,,,,,,6359,0.47895804047584534,0.6781710982322693
20,0.9153605103492737,0.8098159432411194,0.795918345451355,0.2970297038555145,0.20481927692890167,0.5125850439071655,0.0,0.671999990940094,6677,,
20,,,,,,,,,6677,0.48119497299194336,0.6718780994415283
21,0.9135802388191223,0.7692307829856873,0.7856094241142273,0.2800000011920929,0.21176470816135406,0.48834148049354553,0.0,0.699999988079071,6995,,
21,,,,,,,,,6995,0.42773860692977905,0.6940019726753235
22,0.8996960520744324,0.8101266026496887,0.7632561326026917,0.25600001215934753,0.17045454680919647,0.4962731897830963,0.0,0.671999990940094,7313,,
22,,,,,,,,,7313,0.41409188508987427,0.6921337246894836
