epoch,train_acc_step,step,train_loss_step,val_acc_epoch,val_loss,val_f1_macro,train_acc_epoch,train_loss_epoch
5,0.84375,1849,1.4823859930038452,,,,,
5,0.84375,1899,1.6151456832885742,,,,,
5,,1907,,0.8823009133338928,1.5794621706008911,0.5696834921836853,,
5,,1907,,,,,0.8572271466255188,1.6447340250015259
6,0.84375,1949,1.7392287254333496,,,,,
6,0.84375,1999,1.5181496143341064,,,,,
6,0.9375,2049,1.944252610206604,,,,,
6,0.84375,2099,1.8475871086120605,,,,,
6,0.8125,2149,1.6906095743179321,,,,,
6,0.9375,2199,1.5716466903686523,,,,,
6,,2225,,0.8672566413879395,1.5882198810577393,0.511151909828186,,
6,,2225,,,,,0.8632251620292664,1.635539174079895
7,0.90625,2249,1.529850721359253,,,,,
7,0.8125,2299,1.4534200429916382,,,,,
7,0.8125,2349,1.5032894611358643,,,,,
7,0.90625,2399,1.4231579303741455,,,,,
7,0.96875,2449,1.7253755331039429,,,,,
7,0.90625,2499,1.3889939785003662,,,,,
7,,2543,,0.8823009133338928,1.5817291736602783,0.5679759383201599,,
7,,2543,,,,,0.862930178642273,1.632016658782959
8,0.9375,2549,1.5506396293640137,,,,,
8,0.90625,2599,1.6844156980514526,,,,,
8,0.8125,2649,1.7726000547409058,,,,,
8,0.84375,2699,1.3184278011322021,,,,,
8,0.875,2749,1.5325431823730469,,,,,
8,0.8125,2799,1.7284529209136963,,,,,
8,0.78125,2849,1.8876776695251465,,,,,
8,,2861,,0.8787610530853271,1.5868858098983765,0.5527893304824829,,
8,,2861,,,,,0.8652900457382202,1.6297200918197632
9,0.8125,2899,1.6904388666152954,,,,,
9,0.8125,2949,1.7214443683624268,,,,,
9,0.75,2999,1.7468295097351074,,,,,
9,0.875,3049,1.5023599863052368,,,,,
9,0.90625,3099,1.7515623569488525,,,,,
9,0.96875,3149,1.555820107460022,,,,,
9,,3179,,0.883185863494873,1.5653434991836548,0.5671465396881104,,
9,,3179,,,,,0.865486741065979,1.6204196214675903
10,0.90625,3199,1.670647144317627,,,,,
10,0.8125,3249,1.8193345069885254,,,,,
10,0.875,3299,1.5639983415603638,,,,,
10,0.78125,3349,1.680036187171936,,,,,
10,0.875,3399,1.321151852607727,,,,,
10,0.84375,3449,1.6933295726776123,,,,,
10,,3497,,0.8707964420318604,1.5739762783050537,0.5570815801620483,,
10,,3497,,,,,0.8626351952552795,1.6084626913070679
11,0.875,3499,1.772157907485962,,,,,
11,0.71875,3549,1.7999019622802734,,,,,
11,0.875,3599,1.565086007118225,,,,,
11,0.90625,3649,1.4378588199615479,,,,,
11,0.78125,3699,1.6321911811828613,,,,,
11,0.875,3749,1.6433887481689453,,,,,
11,0.8125,3799,1.5905780792236328,,,,,
11,,3815,,0.8796460032463074,1.5697963237762451,0.552618682384491,,
11,,3815,,,,,0.8659783601760864,1.6047015190124512
12,0.90625,3849,1.6701805591583252,,,,,
12,0.875,3899,1.5838087797164917,,,,,
12,0.8125,3949,1.4690958261489868,,,,,
12,0.90625,3999,1.3746230602264404,,,,,
12,0.8125,4049,1.76111900806427,,,,,
12,0.96875,4099,1.4885882139205933,,,,,
12,,4133,,0.8778761029243469,1.5676205158233643,0.5705639123916626,,
12,,4133,,,,,0.8712881207466125,1.6044706106185913
13,0.90625,4149,1.5465943813323975,,,,,
13,0.75,4199,2.0238986015319824,,,,,
13,0.90625,4249,1.4456477165222168,,,,,
13,0.875,4299,1.3807932138442993,,,,,
13,0.90625,4349,1.4167386293411255,,,,,
13,0.90625,4399,1.5272462368011475,,,,,
13,0.90625,4449,1.6581758260726929,,,,,
13,,4451,,0.8619468808174133,1.5731598138809204,0.5514876246452332,,
13,,4451,,,,,0.8700098395347595,1.6020478010177612
14,0.875,4499,1.6548032760620117,,,,,
14,0.875,4549,1.5414148569107056,,,,,
14,0.90625,4599,1.4536042213439941,,,,,
14,0.84375,4649,1.5821325778961182,,,,,
14,0.8125,4699,1.629599928855896,,,,,
14,0.84375,4749,1.634506106376648,,,,,
14,,4769,,0.8716813921928406,1.5650979280471802,0.5759017467498779,,
14,,4769,,,,,0.8722713589668274,1.5904855728149414
15,0.71875,4799,1.7465476989746094,,,,,
15,0.84375,4849,1.5533225536346436,,,,,
15,0.875,4899,1.6224981546401978,,,,,
15,0.875,4949,1.4141929149627686,,,,,
15,0.90625,4999,1.880609393119812,,,,,
15,0.78125,5049,1.830979585647583,,,,,
15,,5087,,0.8522123694419861,1.5637024641036987,0.5883737802505493,,
15,,5087,,,,,0.8712881207466125,1.583827018737793
16,0.90625,5099,1.4968236684799194,,,,,
16,0.96875,5149,1.5234198570251465,,,,,
16,0.96875,5199,1.3046114444732666,,,,,
16,0.9375,5249,1.4641945362091064,,,,,
16,0.90625,5299,1.7161753177642822,,,,,
16,0.84375,5349,1.606579065322876,,,,,
16,0.71875,5399,1.619640827178955,,,,,
16,,5405,,0.8787610530853271,1.5667983293533325,0.5660581588745117,,
16,,5405,,,,,0.8726646900177002,1.5835281610488892
17,0.8125,5449,1.7575852870941162,,,,,
17,0.84375,5499,1.5275185108184814,,,,,
17,0.9375,5549,1.64626145362854,,,,,
17,0.84375,5599,1.755453109741211,,,,,
17,0.78125,5649,1.4592716693878174,,,,,
17,0.84375,5699,1.5606369972229004,,,,,
17,,5723,,0.8690265417098999,1.5591237545013428,0.587817370891571,,
17,,5723,,,,,0.8700098395347595,1.5819463729858398
18,0.8125,5749,1.7196199893951416,,,,,
18,0.84375,5799,1.8044962882995605,,,,,
18,0.9375,5849,1.4658002853393555,,,,,
18,0.8125,5899,1.4295876026153564,,,,,
18,0.9375,5949,1.4604703187942505,,,,,
18,0.8125,5999,1.4337761402130127,,,,,
18,,6041,,0.895575225353241,1.5543851852416992,0.592132568359375,,
18,,6041,,,,,0.8777777552604675,1.5660184621810913
19,0.78125,6049,1.5883138179779053,,,,,
19,0.96875,6099,1.4292805194854736,,,,,
19,0.84375,6149,1.3355138301849365,,,,,
19,1.0,6199,1.2978928089141846,,,,,
19,0.8125,6249,1.5896228551864624,,,,,
19,0.9375,6299,1.4444544315338135,,,,,
19,0.90625,6349,1.4944443702697754,,,,,
19,,6359,,0.8778761029243469,1.55597722530365,0.6020433306694031,,
19,,6359,,,,,0.8784660696983337,1.5670151710510254
20,0.8125,6399,1.6157972812652588,,,,,
20,0.96875,6449,1.282364010810852,,,,,
20,0.875,6499,1.7393016815185547,,,,,
20,0.9375,6549,1.2409169673919678,,,,,
20,0.875,6599,1.6388022899627686,,,,,
20,0.78125,6649,1.568161964416504,,,,,
20,,6677,,0.883185863494873,1.5465116500854492,0.6013630032539368,,
20,,6677,,,,,0.8795477151870728,1.562638521194458
21,0.875,6699,1.5044782161712646,,,,,
21,0.96875,6749,1.2498350143432617,,,,,
21,0.84375,6799,1.5561249256134033,,,,,
21,0.96875,6849,1.4403128623962402,,,,,
21,0.9375,6899,1.874551773071289,,,,,
21,0.875,6949,1.3778055906295776,,,,,
21,,6995,,0.8840708136558533,1.5575246810913086,0.6187193989753723,,
21,,6995,,,,,0.8854473829269409,1.554249882698059
22,0.96875,6999,1.290132761001587,,,,,
22,0.8125,7049,1.8517870903015137,,,,,
22,0.875,7099,1.4385521411895752,,,,,
22,0.875,7149,1.4623889923095703,,,,,
22,0.875,7199,1.397822618484497,,,,,
22,0.90625,7249,1.5757858753204346,,,,,
22,0.875,7299,1.3572273254394531,,,,,
22,,7313,,0.8938053250312805,1.5426480770111084,0.5703383684158325,,
22,,7313,,,,,0.8798426985740662,1.5482017993927002
23,0.90625,7349,1.4936078786849976,,,,,
23,0.9375,7399,1.5066241025924683,,,,,
23,0.9375,7449,1.627435564994812,,,,,
23,0.9375,7499,1.5511114597320557,,,,,
23,0.875,7549,1.6501140594482422,,,,,
23,1.0,7599,1.8366200923919678,,,,,
23,,7631,,0.8610619306564331,1.5538980960845947,0.5886579751968384,,
23,,7631,,,,,0.8827925324440002,1.555833101272583
24,0.84375,7649,1.7921171188354492,,,,,
24,0.96875,7699,1.1400055885314941,,,,,
24,0.90625,7749,1.322282075881958,,,,,
24,0.90625,7799,1.569928765296936,,,,,
24,0.8125,7849,1.5863466262817383,,,,,
24,0.90625,7899,1.813323736190796,,,,,
24,0.9230769276618958,7949,1.5977901220321655,,,,,
24,,7949,,0.8884955644607544,1.5440421104431152,0.6073046922683716,,
24,,7949,,,,,0.88190758228302,1.5450963973999023
25,0.84375,7999,1.4587137699127197,,,,,
25,0.875,8049,1.6592307090759277,,,,,
25,0.84375,8099,1.5965971946716309,,,,,
25,0.9375,8149,1.2951531410217285,,,,,
25,0.75,8199,1.6210792064666748,,,,,
25,0.84375,8249,1.858238935470581,,,,,
25,,8267,,0.874336302280426,1.5456767082214355,0.5994173884391785,,
25,,8267,,,,,0.8873156309127808,1.538779616355896
26,0.9375,8299,1.6267763376235962,,,,,
26,0.90625,8349,1.6924362182617188,,,,,
26,0.84375,8399,1.5445842742919922,,,,,
26,0.78125,8449,1.6384494304656982,,,,,
26,0.90625,8499,1.3136121034622192,,,,,
26,0.96875,8549,1.4496580362319946,,,,,
26,,8585,,0.8663716912269592,1.5470080375671387,0.6002347469329834,,
26,,8585,,,,,0.8849557638168335,1.533190131187439
27,0.9375,8599,1.5364940166473389,,,,,
27,0.96875,8649,1.6589702367782593,,,,,
27,0.90625,8699,1.4213978052139282,,,,,
27,0.90625,8749,1.3921340703964233,,,,,
27,0.9375,8799,1.513527274131775,,,,,
27,0.9375,8849,1.4308940172195435,,,,,
27,0.90625,8899,1.547016978263855,,,,,
27,,8903,,0.8601769804954529,1.550559163093567,0.5844753980636597,,
27,,8903,,,,,0.8835791349411011,1.5314440727233887
28,0.84375,8949,1.571795105934143,,,,,
28,0.75,8999,1.746422529220581,,,,,
28,0.71875,9049,1.4137904644012451,,,,,
28,0.9375,9099,1.4338562488555908,,,,,
28,1.0,9149,1.3470436334609985,,,,,
28,0.84375,9199,1.641525149345398,,,,,
28,,9221,,0.8778761029243469,1.5384482145309448,0.6024376153945923,,
28,,9221,,,,,0.889478862285614,1.524643898010254
29,0.9375,9249,1.5388514995574951,,,,,
29,0.875,9299,1.3680987358093262,,,,,
29,0.875,9349,1.5403378009796143,,,,,
29,0.9375,9399,1.4979372024536133,,,,,
29,0.875,9449,1.7384276390075684,,,,,
29,0.90625,9499,1.7799797058105469,,,,,
29,,9539,,0.8858407139778137,1.5483983755111694,0.6018387079238892,,
29,,9539,,,,,0.8904621601104736,1.5263252258300781
