epoch,train_acc_step,step,train_loss_step,val_acc_epoch,val_loss,val_f1_macro,train_acc_epoch,train_loss_epoch
0,0.78125,49,1.628566026687622,,,,,
0,0.875,99,1.8171234130859375,,,,,
0,0.78125,149,1.849658727645874,,,,,
0,0.8125,199,1.8640711307525635,,,,,
0,0.875,249,1.6580755710601807,,,,,
0,0.78125,299,1.6245884895324707,,,,,
0,,317,,0.8575221300125122,1.6182864904403687,0.5224727392196655,,
0,,317,,,,,0.8057030439376831,1.7831604480743408
1,0.75,349,1.6560660600662231,,,,,
1,0.75,399,1.7908360958099365,,,,,
1,0.90625,449,1.9576895236968994,,,,,
1,0.75,499,1.9536333084106445,,,,,
1,0.8125,549,1.656529188156128,,,,,
1,0.875,599,1.686598539352417,,,,,
1,,635,,0.8707964420318604,1.604245901107788,0.5463164448738098,,
1,,635,,,,,0.8447394371032715,1.6975243091583252
2,0.875,649,1.4874036312103271,,,,,
2,0.96875,699,1.324256181716919,,,,,
2,0.875,749,1.906909465789795,,,,,
2,0.84375,799,1.8475675582885742,,,,,
2,0.90625,849,1.5872997045516968,,,,,
2,0.84375,899,1.6296899318695068,,,,,
2,0.6875,949,1.6450697183609009,,,,,
2,,953,,0.8796460032463074,1.599856972694397,0.5558962821960449,,
2,,953,,,,,0.8493608832359314,1.6894627809524536
3,0.96875,999,1.4114198684692383,,,,,
3,0.75,1049,1.9324898719787598,,,,,
3,0.96875,1099,1.588284969329834,,,,,
3,0.71875,1149,1.8650829792022705,,,,,
3,0.84375,1199,1.668891191482544,,,,,
3,0.875,1249,1.666039228439331,,,,,
3,,1271,,0.8734513521194458,1.5874420404434204,0.5683935284614563,,
3,,1271,,,,,0.8560472130775452,1.668662428855896
4,0.96875,1299,1.553939700126648,,,,,
4,0.84375,1349,1.8627464771270752,,,,,
4,0.84375,1399,1.4617332220077515,,,,,
4,0.96875,1449,1.5093497037887573,,,,,
4,0.75,1499,1.751225233078003,,,,,
4,0.90625,1549,1.3222253322601318,,,,,
4,,1589,,0.8752212524414062,1.5882645845413208,0.5343145728111267,,
4,,1589,,,,,0.8559488654136658,1.6594637632369995
5,0.9375,1599,1.8792319297790527,,,,,
5,0.875,1649,1.6998255252838135,,,,,
5,0.8125,1699,1.8293027877807617,,,,,
5,0.84375,1749,1.9119174480438232,,,,,
5,0.84375,1799,1.526633381843567,,,,,
