step,epoch,train_loss_step,train_acc_step,val_f1_macro,val_acc_epoch,val_loss,train_loss_epoch,train_acc_epoch
4449,13,3.059329032897949,0.03125,,,,,
4451,13,,,0.29525017738342285,0.08761061728000641,3.1873130798339844,,
4451,13,,,,,,3.1907958984375,0.10747295618057251
4499,14,4.107798099517822,0.0625,,,,,
4549,14,2.6899492740631104,0.0625,,,,,
4599,14,2.220491886138916,0.125,,,,,
4649,14,2.241731882095337,0.09375,,,,,
4699,14,3.0248446464538574,0.0625,,,,,
4749,14,3.3345375061035156,0.03125,,,,,
4769,14,,,0.3134583830833435,0.10000000149011612,3.1626136302948,,
4769,14,,,,,,3.1599791049957275,0.10511307418346405
4799,15,2.7994883060455322,0.125,,,,,
4849,15,2.7613720893859863,0.125,,,,,
4899,15,2.88289737701416,0.03125,,,,,
4949,15,3.1067512035369873,0.1875,,,,,
4999,15,6.804986953735352,0.03125,,,,,
5049,15,3.867525577545166,0.03125,,,,,
5087,15,,,0.32643571496009827,0.09203539788722992,3.17444109916687,,
5087,15,,,,,,3.162559747695923,0.11052113771438599
5099,16,2.8677473068237305,0.09375,,,,,
5149,16,3.335517168045044,0.21875,,,,,
5199,16,2.6788699626922607,0.1875,,,,,
5249,16,2.8996620178222656,0.09375,,,,,
5299,16,3.7645816802978516,0.125,,,,,
5349,16,2.6075198650360107,0.15625,,,,,
5399,16,2.6985976696014404,0.09375,,,,,
5405,16,,,0.3343447744846344,0.08849557489156723,3.1613166332244873,,
5405,16,,,,,,3.199894666671753,0.10462143272161484
5449,17,3.250295639038086,0.125,,,,,
5499,17,3.2246246337890625,0.125,,,,,
5549,17,4.610171318054199,0.0625,,,,,
5599,17,3.7450876235961914,0.0625,,,,,
5649,17,2.6931324005126953,0.21875,,,,,
5699,17,2.4505434036254883,0.09375,,,,,
5723,17,,,0.3354392945766449,0.10530973225831985,3.144030809402466,,
5723,17,,,,,,3.1458230018615723,0.10471976548433304
5749,18,3.977275848388672,0.0625,,,,,
5799,18,4.673646926879883,0.09375,,,,,
5849,18,2.529428720474243,0.125,,,,,
5899,18,2.348921775817871,0.15625,,,,,
5949,18,3.6506810188293457,0.125,,,,,
5999,18,2.055318832397461,0.125,,,,,
6041,18,,,0.32451602816581726,0.09469026327133179,3.167153835296631,,
6041,18,,,,,,3.1198642253875732,0.10953785479068756
